time_s,temperature_humidity,temperature_pressure,pressure,humidity,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,led_r,led_g,led_b
0,726.82,726.82,3.1908e-10,0,0,0,0,0.8894419,0.6410585,0.217573,-12.6694142,0,32.091738,255,0,0
0.05,726.82,726.82,3.20446244e-10,0,0,0,0,0.8824408,0.648254,0.1699956,-13.6928633,1.5396627,31.6391184,255,0,0
0.1,726.819,726.819,3.21818338e-10,0,0,0,0,0.8753868,0.6519282,0.1222391,-14.6995784,3.0222618,31.0836392,255,0,0
0.15,726.819,726.819,3.23196307e-10,0,0,0,0,0.8682823,0.6520833,0.0745909,-15.6881132,4.4387591,30.431735,255,0,0
0.2,726.819,726.819,3.24580177e-10,0,0,0,0,0.861129,0.6487478,0.0273364,-16.6570737,5.7808738,29.6907273,255,0,0
0.25,726.818,726.818,3.25969972e-10,0,0,0,0,0.8539279,0.6419761,-0.0192432,-17.6051228,7.0411747,28.86873,255,0,0
0.3,726.818,726.818,3.27365718e-10,0,0,0,0,0.8466793,0.631848,-0.064874,-18.5309836,8.2131606,27.9745443,255,0,0
0.35,726.817,726.817,3.2876744e-10,0,0,0,0,0.8393828,0.6184674,-0.1092914,-19.433443,9.291326,27.0175446,255,0,0
0.4,726.817,726.817,3.30175164e-10,0,0,0,0,0.8320376,0.6019612,-0.1522425,-20.3113553,10.2712127,26.007559,255,0,0
0.45,726.817,726.817,3.31588915e-10,0,0,0,0,0.8246422,0.5824783,-0.1934885,-21.1636443,11.1494462,24.9547445,255,0,0
0.5,726.816,726.816,3.3300872e-10,0,0,0,0,0.8171945,0.5601874,-0.2328068,-21.9893066,11.9237556,23.8694604,255,0,0
0.55,726.816,726.816,3.34434605e-10,0,0,0,0,0.8096919,0.5352752,-0.2699921,-22.7874134,12.5929789,22.7621406,255,0,0
0.6,726.816,726.816,3.35866595e-10,0,0,0,0,0.8021311,0.5079447,-0.3048586,-23.5571122,13.1570522,21.6431685,255,0,0
0.65,726.815,726.815,3.37304716e-10,0,0,0,0,0.7945087,0.4784131,-0.3372413,-24.2976289,13.6169842,20.5227545,255,0,0
0.7,726.815,726.815,3.38748995e-10,0,0,0,0,0.7868205,0.446909,-0.3669967,-25.0082685,13.9748168,19.4108196,255,0,0
0.75,726.815,726.815,3.40199459e-10,0,0,0,0,0.7790619,0.4136705,-0.3940036,-25.6884162,14.2335716,18.3168861,255,0,0
0.8,726.814,726.814,3.41656132e-10,0,0,0,0,0.7712281,0.378943,-0.418164,-26.3375377,14.3971859,17.2499765,255,0,0
0.85,726.814,726.814,3.43119044e-10,0,0,0,0,0.7633138,0.3429764,-0.4394033,-26.9551797,14.4704366,16.2185228,255,0,0
0.9,726.814,726.814,3.44588219e-10,0,0,0,0,0.7553133,0.3060229,-0.4576699,-27.5409696,14.4588566,15.2302867,255,0,0
0.95,726.813,726.813,3.46063684e-10,0,0,0,0,0.7472207,0.2683349,-0.4729354,-28.0946152,14.3686419,14.2922915,255,0,0
1,726.813,726.813,3.47545468e-10,0,0,0,0,0.7390298,0.2301626,-0.4851942,-28.6159036,14.206555,13.410767,255,0,0
1.05,726.812,726.812,3.49033596e-10,0,0,0,0,0.7307342,0.1917517,-0.4944622,-29.1047008,13.9798225,12.5911067,255,0,0
1.1,726.812,726.812,3.50528096e-10,0,0,0,0,0.7223272,0.1533418,-0.5007767,-29.5609499,13.6960314,11.837839,255,0,0
1.15,726.812,726.812,3.52028996e-10,0,0,0,0,0.713802,0.1151642,-0.5041947,-29.9846698,13.3630247,11.1546102,255,0,0
1.2,726.811,726.811,3.53536322e-10,0,0,0,0,0.7051516,0.0774404,-0.5047919,-30.375953,12.9887976,10.5441809,255,0,0
1.25,726.811,726.811,3.55050102e-10,0,0,0,0,0.6963691,0.0403804,-0.5026615,-30.7349645,12.5813968,10.0084348,255,0,0
1.3,726.811,726.811,3.56570363e-10,0,0,0,0,0.6874472,0.0041815,-0.4979122,-31.0619383,12.1488231,9.5483979,255,0,0
1.35,726.81,726.81,3.58097135e-10,0,0,0,0,0.6783789,-0.0309728,-0.490667,-31.3571762,11.6989404,9.1642694,255,0,0
1.4,726.81,726.81,3.59630443e-10,0,0,0,0,0.6691569,-0.0649142,-0.4810615,-31.6210442,11.2393894,8.8554616,255,0,0
1.45,726.81,726.81,3.61170317e-10,0,0,0,0,0.659774,-0.0974896,-0.4692419,-31.8539705,10.7775103,8.6206482,255,0,0
1.5,726.809,726.809,3.62716784e-10,0,0,0,0,0.6502232,-0.1285623,-0.4553635,-32.0564421,10.3202725,8.4578201,255,0,0
1.55,726.809,726.809,3.64269874e-10,0,0,0,0,0.6404973,-0.1580121,-0.439589,-32.2290019,9.8742134,8.3643475,255,0,0
1.6,726.808,726.808,3.65829613e-10,0,0,0,0,0.6305895,-0.1857355,-0.4220864,-32.3722457,9.4453863,8.3370461,255,0,0
1.65,726.808,726.808,3.6739603e-10,0,0,0,0,0.6204929,-0.2116458,-0.4030277,-32.486819,9.0393175,8.3722476,255,0,0
1.7,726.808,726.808,3.68969155e-10,0,0,0,0,0.6102009,-0.2356727,-0.382587,-32.5734135,8.6609729,8.4658716,255,0,0
1.75,726.807,726.807,3.70549016e-10,0,0,0,0,0.5997069,-0.2577624,-0.3609394,-32.632764,8.3147338,8.6134993,255,0,0
1.8,726.807,726.807,3.72135641e-10,0,0,0,0,0.5890047,-0.2778767,-0.3382586,-32.6656451,8.0043816,8.8104465,255,0,0
1.85,726.807,726.807,3.7372906e-10,0,0,0,0,0.5780881,-0.2959925,-0.3147164,-32.6728677,7.7330917,9.0518363,255,0,0
1.9,726.806,726.806,3.75329302e-10,0,0,0,0,0.5669513,-0.3121014,-0.2904812,-32.6552756,7.503435,9.3326681,255,0,0
1.95,726.806,726.806,3.76936396e-10,0,0,0,0,0.5555887,-0.3262084,-0.2657165,-32.6137423,7.3173868,9.6478854,255,0,0
2,726.806,726.806,3.78550371e-10,0,0,0,0,0.5439949,-0.3383317,-0.2405802,-32.5491677,7.1763437,9.9924388,255,0,0
2.05,726.805,726.805,3.80171256e-10,0,0,0,0,0.532165,-0.348501,-0.2152234,-32.4624749,7.0811449,10.3613443,255,0,0
2.1,726.805,726.805,3.81799083e-10,0,0,0,0,0.520094,-0.356757,-0.1897901,-32.3546068,7.0321009,10.7497379,255,0,0
2.15,726.805,726.805,3.83433879e-10,0,0,0,0,0.5077776,-0.3631501,-0.1644158,-32.2265232,7.0290248,11.1529236,255,0,0
2.2,726.804,726.804,3.85075675e-10,0,0,0,0,0.4952117,-0.3677396,-0.1392277,-32.0791975,7.0712687,11.5664166,255,0,0
2.25,726.804,726.804,3.86724501e-10,0,0,0,0,0.4823923,-0.3705925,-0.1143437,-31.9136142,7.1577624,11.9859804,255,0,0
2.3,726.803,726.803,3.88380387e-10,0,0,0,0,0.4693161,-0.3717823,-0.0898724,-31.7307655,7.2870545,12.4076582,255,0,0
2.35,726.803,726.803,3.90043363e-10,0,0,0,0,0.45598,-0.3713883,-0.0659126,-31.5316493,7.4573548,12.8277982,255,0,0
2.4,726.803,726.803,3.91713459e-10,0,0,0,0,0.442381,-0.3694942,-0.0425538,-31.3172656,7.6665771,13.2430738,255,0,0
2.45,726.802,726.802,3.93390707e-10,0,0,0,0,0.4285169,-0.3661873,-0.0198755,-31.0886151,7.9123825,13.6504977,255,0,0
2.5,726.802,726.802,3.95075137e-10,0,0,0,0,0.4143855,-0.3615577,0.0020525,-30.8466959,8.1922219,14.0474311,255,0,0
2.55,726.802,726.802,3.96766779e-10,0,0,0,0,0.3999852,-0.3556972,0.0231697,-30.5925019,8.5033769,14.4315878,255,0,0
2.6,726.801,726.801,3.98465664e-10,0,0,0,0,0.3853145,-0.3486984,0.0434247,-30.3270206,8.8429996,14.8010341,255,0,0
2.65,726.801,726.801,4.00171823e-10,0,0,0,0,0.3703726,-0.3406543,0.0627754,-30.0512307,9.2081506,15.1541841,255,0,0
2.7,726.801,726.801,4.01885288e-10,0,0,0,0,0.3551587,-0.3316572,0.081188,-29.7661009,9.5958335,15.4897914,255,0,0
2.75,726.8,726.8,4.0360609e-10,0,0,0,0,0.3396727,-0.3217982,0.0986369,-29.4725879,10.0030281,15.8069383,255,0,0
2.8,726.8,726.8,4.0533426e-10,0,0,0,0,0.3239147,-0.3111666,0.1151043,-29.1716348,10.4267199,16.1050204,255,0,0
2.85,726.799,726.799,4.07069829e-10,0,0,0,0,0.3078851,-0.2998495,0.1305798,-28.8641699,10.8639267,16.3837308,255,0,0
2.9,726.799,726.799,4.0881283e-10,0,0,0,0,0.2915847,-0.287931,0.1450597,-28.5511054,11.3117225,16.6430411,255,0,0
2.95,726.799,726.799,4.10563295e-10,0,0,0,0,0.2750148,-0.2754923,0.1585466,-28.2333361,11.7672577,16.8831809,255,0,0
